#name	beta1	beta2	Ra_ur	Ra_ui	Ra_vr	Ra_vi	Ra_wr	Ra_wi	Ra_cr	Ra_ci	alpha1	alpha2	alpha3	alpha4
exp001	1.0	10.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	10.0	100.0	100.0	0.0
exp002	1.0	10.0	0.1	0.1	0.1	0.1	0.1	0.1	1.0	1.0	10.0	100.0	100.0	0.0
exp003	1.0	10.0	0.1	0.1	0.1	0.1	0.1	0.1	10.0	10.0	10.0	100.0	100.0	0.0
exp004	1.0	10.0	0.1	0.1	0.1	0.1	0.1	0.1	100.0	100.0	10.0	100.0	100.0	0.0
exp005	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	0.1	0.1	10.0	100.0	100.0	0.0
exp006	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	100.0	100.0	0.0
exp007	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	10.0	10.0	100.0	100.0	0.0
exp008	1.0	10.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	100.0	10.0	100.0	100.0	0.0
exp009	1.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	0.1	0.1	10.0	100.0	100.0	0.0
exp010	1.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	1.0	1.0	10.0	100.0	100.0	0.0
exp011	1.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	100.0	100.0	0.0
exp012	1.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	100.0	100.0	10.0	100.0	100.0	0.0
exp013	1.0	10.0	100.0	100.0	100.0	100.0	100.0	100.0	0.1	0.1	10.0	100.0	100.0	0.0
exp014	1.0	10.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	10.0	100.0	100.0	0.0
exp015	1.0	10.0	100.0	100.0	100.0	100.0	100.0	100.0	10.0	10.0	10.0	100.0	100.0	0.0
exp016	1.0	10.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	10.0	100.0	100.0	0.0
