#name	beta1	beta2	Ra_ur	Ra_ui	Ra_vr	Ra_vi	Ra_wr	Ra_wi	Ra_cr	Ra_ci	alpha1	alpha2	alpha3	alpha4
exp046	0.1	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	1.0	1.0	0.0
exp047	0.1	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	1.0	10.0	0.0
exp048	0.1	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	1.0	100.0	0.0
exp049	0.1	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	10.0	1.0	0.0
exp050	0.1	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	10.0	10.0	0.0
exp051	0.1	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	10.0	100.0	0.0
exp052	0.1	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	100.0	1.0	0.0
exp053	0.1	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	100.0	10.0	0.0
exp054	0.1	10.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	100.0	100.0	0.0
exp055	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
exp056	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	0.0
exp057	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	0.0
exp058	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	1.0	0.0
exp059	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	10.0	0.0
exp060	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	100.0	0.0
exp061	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	1.0	0.0
exp062	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	10.0	0.0
exp063	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	100.0	0.0
exp064	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	1.0	1.0	0.0
exp065	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	1.0	10.0	0.0
exp066	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	1.0	100.0	0.0
exp067	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	10.0	1.0	0.0
exp068	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	10.0	10.0	0.0
exp069	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	10.0	100.0	0.0
exp070	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	100.0	1.0	0.0
exp071	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	100.0	10.0	0.0
exp072	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	100.0	100.0	0.0
exp073	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	1.0	1.0	0.0
exp074	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	1.0	10.0	0.0
exp075	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100.0	1.0	100.0	0.0
